"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Enabled","JVM","Native","InstrumentPropertyAccessors","Reference","CILabel","FlushEarly","Dedicated","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4728.8542","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219762.02","218268","6299.662697449178","214406","253423","218015.84258867873","221508.19741132125","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22583.5056","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186459.58","185742","3711.5303081294182","181661","204037","185430.79628621257","187488.3637137874","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3754.2399","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4728.8542","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218765.76","218105.5","2668.63459362381","215754","228311","218026.05222987712","219505.4677701229","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22583.5056","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186667.54","185766.5","4997.980911552673","181972","214437","185282.17037163847","188052.90962836155","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4387.6948","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4674.576","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218554.34","217395.5","3633.7852283978546","215104","233713","217547.10612286074","219561.57387713925","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21678.5038","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186061.66","185131","3253.6419130517943","182362","201628","185159.7964739735","186963.52352602652","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4387.6948","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4674.576","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220531.04","218199","7257.823044502125","214029","256851","218519.2740905636","222542.80590943643","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21678.5038","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186025.6","185776.5","2346.121332353135","181413","193695","185375.28834499142","186675.9116550086","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4546.5382","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4015.4912","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219465.34","217406","7094.124978358602","214514","255995","217498.94887951735","221431.73112048264","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25466.9079","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186443.72","185733","3055.2910682677575","182906","201698","185596.83652311465","187290.60347688536","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4546.5382","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4015.4912","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233364.72","235328","14488.76510848939","216650","306090","229348.6392087811","237380.8007912189","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25466.9079","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","2026-05-23 02:15:28","16aec17864e97a5f1ce364e33e8968b5cdba1a28","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.95","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
