"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JS","Native","Common","TestKIR","CILabel","JVM","Methods","FlushEarly","InstrumentPropertyAccessors","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3219.9235","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145167.66","144208.5","3929.740416259537","138631","156857","144078.39153011714","146256.92846988287","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14723.3971","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142650.48","142619","4802.849134182155","134111","157379","141319.19814081592","143981.7618591841","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2267.6086","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3219.9235","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145141.22","143933","4035.1768304069474","138664","161992","144022.7260471735","146259.7139528265","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14723.3971","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142698.42","141992","5170.3578018926155","130871","156800","141265.26993535142","144131.5700646486","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2000.4462","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2819.34","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143714.44","143883","3423.9216336635664","136467","151814","142765.3773434774","144663.5026565226","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14271.2406","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144262.16","143398","4917.950566017914","136637","156811","142898.97365164958","145625.34634835043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2000.4462","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2819.34","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144330.38","143346.5","3457.5587523746353","139095","155002","143371.99360985923","145288.76639014078","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14271.2406","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145533.94","145650.5","4357.042033540739","137086","156259","144326.22956461005","146741.65043538995","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1287.0227","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2456.9135","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143994.66","143807.5","3321.2637784618146","138592","152851","143074.05264917505","144915.26735082496","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14441.0908","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145167.36","144768","4990.710074871969","136222","159517","143784.0057447438","146550.71425525617","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1287.0227","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2456.9135","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144346.08","143790","3890.8643383690255","137198","156449","143267.58742913164","145424.57257086833","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14441.0908","50","False","500","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","2026-06-15 04:43:56","e2143ce8366a1f85ab5344f9561718cc9f704dd1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","85","0.04","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
