"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","CILabel","Native","Dedicated","JS","InstrumentPropertyAccessors","Reference","Common","FlushEarly","Enabled","Methods","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"159746.66","157513.5","12135.389223948881","147277","233308","156382.90172306378","163110.41827693622","commonmain-plain-jar","1910.8566","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6261.9028","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139349.34","138873","2841.8128132785746","133989","147153","138561.62967643622","140137.05032356377","commonmain-plain-linux-exe","16994.2871","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157412.12","156913.5","5428.2707046028","147586","171512","155907.48012606637","158916.75987393362","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2534.5623","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4164.6653","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139006.14","138518.5","3033.588788742415","133266","148202","138165.27208809034","139847.0079119097","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20282.3726","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158336.32","159148.5","5440.850940499537","148476","171759","156828.19306258266","159844.44693741735","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2534.5623","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4164.6653","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138295.62","138483.5","2393.5051906254603","133571","144783","137632.1742095702","138959.0657904298","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20282.3726","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155498.72","155005","4395.471607767917","148903","166801","154280.3574300967","156717.08256990332","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2271.1278","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4212.1719","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138155.86","137765.5","2633.2674744972064","132058","145726","137425.95549514517","138885.7645048548","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17092.7377","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155654.84","155046","3775.4120594678816","148713","162506","154608.3491681429","156701.3308318571","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2271.1278","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4212.1719","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138210.46","137988.5","3746.2415625939184","131666","156186","137172.05481735375","139248.86518264623","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17092.7377","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157217.46","155853.5","5298.713044404158","149500","175133","155748.73167729814","158686.18832270184","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1859.4884","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3451.7146","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138533.5","138298","2945.1476678961762","133706","147963","137717.14671607447","139349.85328392553","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15213.2863","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156231.36","156484","4584.03786784943","147713","167036","154960.72952946366","157501.99047053632","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1859.4884","50","False","500","System.Boolean[]","ci-linux-large","True","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","2026-08-01 03:13:17","13a9e7980a9689a893f8e3a2c6ba0f9817234c79","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.01","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
