"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Common","Enabled","TestKIR","Reference","JVM","JS","Methods","CILabel","FlushEarly","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4754.756","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245692.54","240690.5","19668.834720793137","220501","331463","240240.6171676288","251144.4628323712","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23535.1009","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197463.48","191728","12432.909881932103","185120","244707","194017.25320414102","200909.706795859","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3762.9472","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4754.756","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247713.38","244803","14542.17508067974","227426","292136","243682.49471980173","251744.26528019828","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23535.1009","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192309.18","187049","18104.783556286995","182790","287343","187290.79003197042","197327.56996802957","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3998.0292","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5333.1183","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251040.02","250086","20683.76532402125","218173","316405","245306.77275733405","256773.26724266593","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29944.7251","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205342.24","199031","15062.842432466263","186744","242342","201167.03309304698","209517.446906953","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3998.0292","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5333.1183","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231055.02","223769","12544.19509539885","220339","266574","227577.94651673845","234532.09348326153","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29944.7251","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210339.94","216012.5","23825.002491731673","183441","298446","203735.98623711357","216943.89376288644","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4160.476","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6953.7865","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223190.56","220711.5","7909.507480112728","215716","252490","220998.15638098688","225382.9636190131","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31971.7899","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216857.94","220713","18417.847062697037","185898","275567","211752.7732552672","221963.1067447328","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4160.476","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6953.7865","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239482.36","234221","16673.877246734897","220202","298518","234860.59702542337","244104.1229745766","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31971.7899","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
