"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","CILabel","Methods","Common","InstrumentPropertyAccessors","TestKIR","JS","FlushEarly","Native","Reference","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4174.3371","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241203.7","240056.5","8377.163126680798","231738","284585","238881.6688492391","243525.73115076093","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21784.0293","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197520.06","190680","14756.304108939685","182308","231825","193429.82118133258","201610.29881866742","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4053.4201","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4174.3371","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255078.12","243086","23275.662038538125","230474","302224","248626.4356420898","261529.80435791018","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21784.0293","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202276.8","196427.5","17368.113022409303","179937","250565","197462.60468613246","207090.99531386752","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2310.5376","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4149.2552","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253643.08","241539.5","22951.56845188652","230277","299063","247281.2298010511","260004.9301989489","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20825.1463","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205407.06","195352","24174.59344394441","181651","281043","198706.20456899673","212107.91543100326","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2310.5376","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4149.2552","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232670.06","230757.5","5405.768319006606","225583","246296","231171.65746912995","234168.46253087005","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20825.1463","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183595.04","181812.5","6294.866745635377","176613","215978","181850.19195869827","185339.88804130175","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2052.5099","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3894.4448","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244392.46","238580.5","16113.518222870369","227138","279358","239926.02062236745","248858.89937763254","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20325.9372","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220521.52","216277","14871.915462374038","202829","282774","216399.2353491103","224643.80465088968","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2052.5099","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3894.4448","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248578.64","243568.5","16611.05832768383","230234","292843","243974.28954141334","253182.9904585867","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20325.9372","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
