"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","Common","Native","Methods","Reference","CILabel","TestKIR","JVM","InstrumentPropertyAccessors","Dedicated","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"216494.9","196977.5","49021.63395983285","186008","420080","202906.7963192457","230083.00368075428","commonmain-plain-jar","2642.1861","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7867.9424","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227613.42","223927","9805.973098669849","221468","280376","224895.3429309127","230331.49706908732","commonmain-plain-win-exe","97320.4335","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194379.38","190903.5","8957.95196366141","185821","218510","191896.36239701306","196862.39760298695","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3140.682","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4929.8615","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226526.56","224285","6588.806968779457","221114","260917","224700.23588567917","228352.88411432083","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24952.1366","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191639.88","186422.5","12327.911125571924","180913","239258","188222.75737453526","195057.00262546475","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3140.682","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4929.8615","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220851.04","219583.5","4075.0745627834717","216046","237969","219721.48695998348","221980.59304001654","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24952.1366","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186522.2","185430.5","4249.766629847251","180471","207363","185344.2247894493","187700.17521055072","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3604.87","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","2026-07-18 01:47:20","c45248fe28649d599d201768b5db1a3a764361bb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
