"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","TestKIR","Reference","Methods","CILabel","JVM","Dedicated","Enabled","Common","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3039.5392","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111400.7","111840.5","1901.4374932709006","106764","115574","110873.64841656627","111927.75158343372","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14398.1315","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126736.7","126417.5","4383.85797033636","118395","136409","125521.55656615525","127951.84343384474","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2267.3924","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3039.5392","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111558.54","111278.5","1855.5828635966297","107898","116824","111044.19867144612","112072.88132855386","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14398.1315","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"127590.54","127026","3960.3089820191076","120685","136053","126492.79835598235","128688.28164401764","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2404.2228","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3052.864","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111903.32","112219.5","2035.009777241718","107355","117970","111339.24406839874","112467.39593160128","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13529.6366","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126901.7","126439.5","3301.995427937848","119774","133875","125986.4335634516","127816.96643654839","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2404.2228","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3052.864","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112641.62","112597.5","1909.346355618667","108812","117932","112112.37619176882","113170.86380823117","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13529.6366","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"127325.64","127328.5","4217.747448724792","118632","137077","126156.54005364838","128494.73994635162","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1448.3245","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2190.5195","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112867.3","112482","3239.292876035555","108366","126702","111969.41382411355","113765.18617588645","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12362.3333","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"127247.12","127116.5","3889.0312609403677","119330","141981","126169.13553227189","128325.1044677281","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1448.3245","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2190.5195","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113519.1","113701","2301.1528721091795","108559","121540","112881.25296623721","114156.9470337628","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12362.3333","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
