"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","CILabel","Reference","Methods","Native","TestKIR","Enabled","JS","FlushEarly","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4182.545","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203620.4","199687","10045.89071029868","194707","232555","200835.82116183004","206404.97883816995","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19509.5972","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251840.38","260286.5","21471.546514161386","222815","297704","245888.77095205145","257791.98904794856","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2740.9445","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4182.545","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215728.04","215423.5","11074.928924929714","198413","236668","212658.22632116108","218797.85367883893","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19509.5972","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247791.64","230641","28089.883831437848","218013","313838","240005.5214427388","255577.75855726123","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2814.1331","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4014.0965","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199700.16","198409.5","5634.60958341845","193376","227585","198138.32590685663","201261.99409314338","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23447.6447","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237060.82","227811.5","19536.115132675248","215308","283098","231645.68516056455","242475.95483943546","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2814.1331","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4014.0965","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206346.54","203546","9375.081318199707","194705","234764","203747.90003888446","208945.17996111556","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23447.6447","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228031.28","228309.5","4374.887959101796","220248","241680","226818.6229264176","229243.9370735824","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4263.3831","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3205.8343","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212773.78","213492","7998.500883239538","195584","231040","210556.70866816482","214990.85133183518","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17125.7369","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243434.66","231293","20990.572347944344","216376","289031","237616.37018909844","249252.94981090157","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4263.3831","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3205.8343","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199633.48","198884.5","4537.032992732459","194993","224836","198375.87861611374","200891.08138388628","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17125.7369","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
