"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JVM","TestKIR","InstrumentPropertyAccessors","Native","FlushEarly","JS","Reference","Enabled","Common","Methods","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3797.7065","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225256.98","223916","3969.732312416657","220449","237431","224156.6263420588","226357.33365794123","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17728.7377","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179568.9","178550.5","4243.606866180452","174630","195206","178392.63218882773","180745.16781117226","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2277.0676","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3797.7065","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226204.72","225440.5","3810.549111643216","221168","239881","225148.4896741802","227260.9503258198","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17728.7377","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"331068.28","181356.5","630601.0249524683","173750","4367272","156274.59370090562","505861.96629909443","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2023.3869","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3391.4181","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"270349.48","257781","35589.9659610941","230408","358489","260484.44474087108","280214.5152591289","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18622.3531","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206756.02","206389","4683.053192488152","196140","227751","205457.94388172624","208054.09611827374","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2023.3869","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3391.4181","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253428.38","251702","14050.932226884084","230725","291806","249533.66029182804","257323.09970817197","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18622.3531","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206667.48","205900.5","4326.514948735604","198693","224084","205468.23124081088","207866.72875918914","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2477.1908","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3753.9495","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253910.34","249539","15766.99082183783","234011","307658","249539.9531174212","258280.7268825788","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17360.7394","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208370.14","207645.5","5552.015526686811","198942","231045","206831.1998113561","209909.08018864391","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2477.1908","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3753.9495","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258827.14","259205.5","15093.924059389336","233963","293670","254643.3177056133","263010.96229438676","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17360.7394","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
