"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","CILabel","Common","Reference","Methods","JS","InstrumentPropertyAccessors","Enabled","JVM","Native","FlushEarly","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3895.4536","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136087.98","136035","3265.9866746169537","130206","148705","135182.6946806445","136993.26531935553","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16226.1708","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152374.46","151674.5","5949.2201245376755","137931","176475","150725.42031400983","154023.49968599016","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2544.5371","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3895.4536","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135650.56","135344.5","2659.663122445765","130442","141126","134913.33899481516","136387.78100518484","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16226.1708","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151605.22","151199.5","4882.376020307476","141581","164879","150251.8944126333","152958.5455873667","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2214.6814","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3348.113","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135135.62","135098.5","2763.4085052591804","129930","145701","134369.6422418431","135901.5977581569","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15248.3311","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150181.34","149849.5","4503.337690139234","140912","164338","148933.0784774812","151429.6015225188","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2214.6814","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3348.113","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135985.58","135546.5","3922.580471410865","130417","154539","134898.29616557484","137072.86383442514","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15248.3311","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153316.84","152058","4677.767548647931","146159","165329","152020.22898745036","154613.45101254963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1643.3795","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3026.2046","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135756.42","135566","3342.2687827160707","128795","147043","134829.99035904382","136682.8496409562","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14067.3207","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150543.22","151113","4357.630156778488","140745","160752","149335.34654516567","151751.09345483434","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1643.3795","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3026.2046","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135321.4","135232","2576.8609601923163","129926","143269","134607.13058322226","136035.66941677773","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14067.3207","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
