"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Reference","Native","JS","Enabled","CILabel","FlushEarly","InstrumentPropertyAccessors","Methods","TestKIR","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3799.613","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136411.74","136684.5","2815.1784792080084","128671","141324","135631.4123371838","137192.06766281617","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17476.9562","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155582.2","155944.5","6549.323513905534","144169","177096","153766.8201410041","157397.57985899592","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2666.1909","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3799.613","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136954.36","136631.5","2916.7638396562947","129963","147716","136145.87431186484","137762.84568813513","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17476.9562","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155183.4","155783.5","5346.2292719795905","144693","167060","153701.50085097805","156665.29914902194","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1874.6431","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3136.2661","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136332.76","136079","3369.438090136886","129097","144591","135398.799411249","137266.72058875102","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14662.4494","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154442.38","153589","5675.094593799422","142391","168428","152869.32403450893","156015.43596549108","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1874.6431","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3136.2661","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138469.62","138607","3963.322770512806","127526","153012","137371.04297643222","139568.19702356777","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14662.4494","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155075.54","155855.5","5598.572544781721","141347","167760","153523.69486433905","156627.38513566097","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1486.3276","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3107.5975","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136236.84","136273.5","2392.272938151549","130220","141750","135573.7357725297","136899.9442274703","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14131.8683","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156426.14","156862.5","5663.944511467214","144933","168037","154856.17467964947","157996.10532035056","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1486.3276","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3107.5975","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137632.34","137581","3660.18451419586","131209","148129","136617.7886141703","138646.8913858297","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14131.8683","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
