"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Reference","InstrumentPropertyAccessors","CILabel","JVM","Methods","FlushEarly","TestKIR","JS","Enabled","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4207.1331","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219513.78","219096.5","3288.5634559292707","215512","236868","218602.23671614047","220425.32328385953","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19404.7142","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189699.32","188749.5","4931.048153842164","183942","214673","188332.50318552784","191066.13681447218","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2604.9654","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4207.1331","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220707.02","219122","6229.665311840678","215277","256154","218980.24487408213","222433.79512591785","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19404.7142","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189104.36","188404.5","5159.023692482119","183026","215243","187674.35159019555","190534.36840980442","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2278.1229","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3806.5518","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220256.1","218843","4728.128676941257","216380","241123","218945.5295948832","221566.6704051168","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18545.9951","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188702.64","187975","3771.53729150654","183039","203688","187657.2231990257","189748.05680097433","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2278.1229","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3806.5518","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222275.74","219225","9929.038730647286","215706","273073","219523.550878095","225027.92912190498","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18545.9951","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189183","188716","2823.0054038566914","183069","197138","188400.50282435783","189965.49717564217","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2174.7728","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3408.9356","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220554.76","219104.5","5058.211434965558","216140","248543","219152.69532231492","221956.8246776851","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18679.2439","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188973.96","188863","2742.377390781471","183791","198924","188213.81176935905","189734.10823064094","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2174.7728","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3408.9356","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221702.76","220169.5","5521.984084270687","216542","247943","220172.14410249595","223233.37589750407","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18679.2439","50","False","500","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","2026-05-09 02:08:42","632300fd4ad9e7958fffa5ad0790e75776c67287","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","2.7","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
