"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Native","Common","Dedicated","Enabled","CILabel","JS","InstrumentPropertyAccessors","FlushEarly","JVM","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2840.4831","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112246.68","112325.5","1985.7369622548972","107164","117191","111696.26179590801","112797.09820409198","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13364.1105","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109850.82","110106","3531.1910963264936","102968","116619","108872.02376540782","110829.61623459219","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1589.1546","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2840.4831","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112534.34","112230","2222.648058565481","107839","120273","111918.25339035412","113150.42660964587","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13364.1105","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109910.7","109328.5","3866.36017859333","104576","121658","108838.99963568915","110982.40036431084","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1378.2183","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2178.1536","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112773.18","112490.5","3244.8236749050775","108224","125953","111873.76076488222","113672.59923511777","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11321.8127","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110857.06","110527.5","4250.272588665248","102016","119392","109678.94454482009","112035.17545517991","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1378.2183","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2178.1536","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112432.92","111952.5","2839.557559960095","108249","125061","111645.83480076281","113220.00519923719","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11321.8127","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109548.28","109261","3293.9930798038904","103513","117906","108635.23170118693","110461.32829881307","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1196.1432","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2089.7853","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111931.48","111704","2807.0845449414205","107496","122067","111153.39586129991","112709.56413870008","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11011.5273","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109933.22","109808","4011.6394190110445","100184","119336","108821.25028475167","111045.18971524833","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1196.1432","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2089.7853","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112136.42","111496","3240.9544392266384","107349","125506","111238.07326229443","113034.76673770556","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11011.5273","50","False","500","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-06-07 04:12:33","25ba523c83b9488c739576f21774ffdf5d816efd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.98","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
