"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Reference","InstrumentPropertyAccessors","Native","FlushEarly","Dedicated","Common","CILabel","JS","JVM","Methods","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5558.8463","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220676.32","219756.5","4116.692948749726","215012","233100","219535.2309319515","221817.40906804852","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28857.4839","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188840.34","188109.5","3812.917371520239","185141","208676","187783.45322603366","189897.22677396634","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2824.7872","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5558.8463","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218510.94","217704.5","2656.678872009109","214853","227632","217774.54618683358","219247.33381316642","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28857.4839","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187297.58","186104.5","4197.250636027428","180658","207082","186134.16148026678","188460.9985197332","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4205.4625","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5403.8521","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"321616.72","302311","82128.01152060217","234614","650770","298851.99664233875","344381.4433576612","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28386.8825","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216841.24","217749","5026.559924632189","199126","231989","215447.9486733708","218234.5313266292","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4205.4625","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5403.8521","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242459.46","239809","12265.6094238804","222404","280586","239059.6065251875","245859.3134748125","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28386.8825","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218402.02","216917.5","6038.004882308022","208062","238621","216728.37043472994","220075.66956527004","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2571.394","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4140.3256","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251324.54","244153.5","30268.611122988346","226354","428899","242934.50904859186","259714.57095140815","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23490.4678","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215947.56","215621.5","4667.135126846543","206083","234199","214653.8961444124","217241.2238555876","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2571.394","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4140.3256","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243919.26","241123","11368.127151427381","226420","278160","240768.17591911924","247070.34408088078","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23490.4678","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
