"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","InstrumentPropertyAccessors","Enabled","Methods","JVM","JS","Native","FlushEarly","Common","Reference","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5663.6355","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"165679.54","165464","2599.43426505987","162596","177200","164959.0135823396","166400.06641766042","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22580.7737","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202815.56","196379","14544.975477434937","187936","242073","198783.89848942377","206847.22151057623","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4153.115","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5663.6355","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"174047.96","171198.5","12005.910314847568","160567","211965","170720.09144560507","177375.82855439492","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22580.7737","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198002.38","194739.5","11733.704634278545","186745","236971","194749.96301078735","201254.79698921266","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2736.2655","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3323.5963","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"167038.04","164850.5","7321.103786412849","159544","195246","165008.73356380794","169067.34643619208","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18436.2599","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202048.6","198121.5","12344.577414841726","186841","252113","198626.8577148406","205470.34228515942","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2736.2655","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3323.5963","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"167829.42","165451.5","8377.212168613089","159950","199565","165507.37525550902","170151.464744491","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18436.2599","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194456.94","193004","10353.325417488244","185975","262667","191587.1446086695","197326.7353913305","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2580.5107","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2968.7496","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"167384.56","164798.5","7223.266509533973","159752","187651","165382.37267336602","169386.74732663398","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18435.3039","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203269.24","202286","8223.394980325887","189640","235070","200989.83120485416","205548.64879514583","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2580.5107","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2968.7496","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"165457.12","163446.5","5806.164889150152","160885","188473","163847.7332022043","167066.50679779568","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18435.3039","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
