"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Methods","FlushEarly","Reference","TestKIR","Enabled","JVM","Native","JS","Dedicated","InstrumentPropertyAccessors","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3517.304","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236113.28","230871.5","10208.59593184057","224851","260733","233283.60157535924","238942.95842464076","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21672.2997","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181161.4","177529.5","16578.410462688746","173726","288889","176566.0990678912","185756.7009321088","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2166.9968","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3517.304","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229681.1","226872","7106.919198921569","223283","255277","227711.1625025103","231651.0374974897","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21672.2997","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177438.36","177291","1801.756668433587","174329","181181","176938.93853154738","177937.7814684526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2809.2194","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4424.9593","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229208.98","226629.5","7376.611639859191","224037","260100","227164.2875718122","231253.67242818783","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22769.638","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180110.5","177414","9419.226245898788","173383","234349","177499.6236892139","182721.3763107861","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2809.2194","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4424.9593","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"272179.34","256955.5","45975.229558575054","226274","401735","259435.65653770918","284923.0234622909","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22769.638","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209123.32","205557.5","8995.132868617431","197230","230596","206629.99637596324","211616.64362403678","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4448.8712","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4504.7359","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"263763.04","261575.5","13886.221548582842","239249","292246","259913.9757625518","267612.10423744813","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25522.7021","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212494.4","210340.5","10351.610301626248","200429","262065","209625.08001453168","215363.7199854683","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4448.8712","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4504.7359","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"261184.66","261090.5","14718.348324885268","235542","297565","257104.94198791034","265264.3780120897","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25522.7021","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","ci-windows-large","2026-06-02 02:49:57","0770f41e9b7e6a5f19aba68210599782ece561ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.74","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
