"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JVM","Common","Enabled","TestKIR","FlushEarly","CILabel","Reference","InstrumentPropertyAccessors","Methods","JS","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3711.3537","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142841.6","142599.5","2980.375267427556","137310","149462","142015.48212366516","143667.71787633485","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17163.1637","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144362.74","144708.5","3484.309762758923","137608","151161","143396.93860808748","145328.5413919125","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2178.6405","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3711.3537","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142963.48","141701.5","4555.666291195471","138127","161439","141700.7137292877","144226.24627071232","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17163.1637","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"147266.26","145215","10943.42460074747","137839","210431","144232.89746011986","150299.62253988016","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2794.2153","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3742.0039","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142801.44","142809.5","2596.562768471474","138643","151106","142081.70952058583","143521.17047941417","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18938.4389","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142330.32","142706.5","4654.212348978907","132765","151322","141040.2381556863","143620.40184431372","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2794.2153","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3742.0039","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143673.64","143184","4115.883413790819","137337","158082","142532.77532359384","144814.50467640618","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18938.4389","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143674.9","143668.5","4573.011347647663","135722","153268","142407.32592492903","144942.47407507096","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2569.4865","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3183.646","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144620.72","144223.5","3734.9662241458363","138260","156000","143585.44018171827","145655.99981828174","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17179.2503","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146579.78","146564","5069.646005795832","134648","158307","145174.5458209859","147985.0141790141","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2569.4865","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3183.646","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145023.94","144525","3907.266665105531","138424","157672","143940.9009361183","146106.9790638817","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17179.2503","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
