"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","FlushEarly","Dedicated","JVM","Reference","Methods","Native","CILabel","JS","Enabled","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2933.4762","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144636.76","144158.5","3690.621785785463","138416","159864","143613.7718329227","145659.7481670773","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14192.8813","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141804.02","140914.5","4342.180776700921","134570","152292","140600.4288948415","143007.6111051585","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1870.4296","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2933.4762","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144284.32","144115","2894.4691271739734","139379","155394","143482.01409087816","145086.62590912185","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14192.8813","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140931.72","139925","4817.790665812685","132213","153605","139596.2965595477","142267.1434404523","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1394.0936","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3053.5356","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144782.58","145088.5","2399.648605993156","139882","150329","144117.43134170905","145447.72865829093","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13802.7575","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140377.32","139256.5","4516.385557916319","132025","151116","139125.4417930534","141629.1982069466","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1394.0936","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3053.5356","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144853.64","144335.5","4194.345521955842","138890","160233","143691.02673680396","146016.25326319606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13802.7575","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140728.2","139732.5","4496.740987671415","132322","151000","139481.76699011622","141974.6330098838","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1382.8646","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2239.8008","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145108.88","144540.5","4187.954786220665","139804","165134","143948.0381583734","146269.7218416266","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13593.4796","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141189.58","140516","3303.6124759766503","135341","150455","140273.86534060317","142105.2946593968","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1382.8646","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2239.8008","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144611.72","144685","3328.978945256215","139034","155264","143688.9741140458","145534.4658859542","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13593.4796","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
