"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Common","Enabled","Dedicated","Methods","Reference","JS","JVM","TestKIR","FlushEarly","InstrumentPropertyAccessors","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2876.1721","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113591.72","112997","2939.704691818898","109573","125065","112776.87543206975","114406.56456793025","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12241.8176","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110185.06","109498.5","3300.432206761498","103693","121054","109270.22686625496","111099.89313374503","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2203.3251","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2876.1721","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114356.2","114098","2956.4771783530564","109906","125543","113536.7063359952","115175.6936640048","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12241.8176","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109515.36","109532","2923.109462367017","103916","116138","108705.1153949878","110325.6046050122","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1908.9231","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2626.112","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113119","112697.5","2833.218794003364","109175","122535","112333.67181704463","113904.32818295537","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11651.5076","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109046.02","108842","3455.2979285586994","103254","117639","108088.26027824896","110003.77972175105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1908.9231","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2626.112","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112991.04","112676","2158.3494351197246","109725","117645","112392.77605947662","113589.30394052337","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11651.5076","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109486.96","108912.5","3894.6479810538112","101273","120657","108407.41865688685","110566.50134311317","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1208.5027","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2379.6215","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113988.72","113345.5","2946.915883788074","108179","125176","113171.87659163495","114805.56340836505","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11168.6512","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108592.82","108508.5","2887.8366501516634","101803","114115","107792.35251971375","109393.28748028626","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1208.5027","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2379.6215","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113162.5","112749.5","2406.662302604067","108732","118906","112495.40724419463","113829.59275580537","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11168.6512","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
