"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","Reference","Native","InstrumentPropertyAccessors","Methods","Enabled","FlushEarly","JVM","TestKIR","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4510.998","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124677.52","124073.5","3897.791914111666","117861","142139","123597.10720310401","125757.932796896","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","22214.2981","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145655.64","145352","5956.196580410169","132600","161616","144004.66653910145","147306.61346089857","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2423.031","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4510.998","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123444.36","123219","2621.300166259609","119303","133555","122717.77266374967","124170.94733625033","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","22214.2981","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145414.68","145869.5","4957.710977901815","134425","156592","144040.47262775814","146788.88737224185","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2590.0621","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4597.5516","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123064.82","122534.5","3243.9540353194448","118322","135477","122165.64181667712","123963.9981833229","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18253.9692","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143849.18","143898.5","5167.702827945815","133433","157931","142416.76585658343","145281.59414341656","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2590.0621","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4597.5516","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120766.38","120450","2904.3983176119177","114648","129100","119961.32185970513","121571.43814029488","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18253.9692","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142925.56","143352.5","4800.38147786832","130247","150205","141594.96214024906","144256.15785975094","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2202.3889","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3731.1575","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121386.5","121383.5","3061.9800066663547","116553","136654","120537.76244398401","122235.23755601599","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14896.9906","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144433.04","144815.5","5883.368343015066","133641","160557","142802.25349658684","146063.82650341318","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2202.3889","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3731.1575","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121544.18","120977.5","3210.442309726439","117056","134337","120654.29079309621","122434.06920690378","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14896.9906","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
