"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","TestKIR","JS","Common","InstrumentPropertyAccessors","FlushEarly","JVM","CILabel","Native","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3956.0316","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144800.16","144510.5","3545.909413072236","137747","153026","143817.28405614902","145783.035943851","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16773.6619","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143484.26","143007","4790.030031902787","133187","153257","142156.53141468292","144811.9885853171","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2598.8817","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3956.0316","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143173.78","142800.5","2766.4832998902107","137496","148658","142406.94995225445","143940.61004774555","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16773.6619","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142764.66","141947.5","3791.644243031548","135648","150026","141713.66983641093","143815.65016358907","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1716.4917","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3210.9529","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144408.26","144110","3932.155683435679","138575","158977","143318.32205221208","145498.19794778794","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14875.6246","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143140.96","142690.5","4823.598690282801","134867","158279","141803.92665730036","144477.99334269963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1716.4917","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3210.9529","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143854.8","143449","4892.684293088686","138943","173746","142498.6171051956","145210.9828948044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14875.6246","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143166.86","143053.5","4836.946342350256","130744","152455","141826.12687690675","144507.59312309322","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1325.6176","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2158.4758","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145002.38","144111","5249.583042295758","137791","174193","143547.2698190972","146457.49018090282","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13777.8112","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142655.6","142025.5","3997.192009296485","135577","154126","141547.63490241254","143763.56509758747","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1325.6176","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2158.4758","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144648.32","143937.5","3038.582580676694","138098","152226","143806.0678795872","145490.5721204128","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13777.8112","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","2026-06-09 03:46:49","47df57df93efb15fdf181d9525afa73636f6aa9e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.04","145","86","0.04","163","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
