"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","FlushEarly","CILabel","Methods","Enabled","TestKIR","Native","Reference","InstrumentPropertyAccessors","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4141.0822","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137454.58","137309.5","2895.019594519709","131651","143915","136652.12150911448","138257.0384908855","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16508.2266","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155564.4","155554","4668.73392355782","146458","166297","154270.29298057387","156858.50701942612","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2173.3293","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4141.0822","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137165.92","136982","3706.345847932947","131399","145169","136138.5733452616","138193.26665473843","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16508.2266","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154954.18","154203","6573.373413108619","141276","168594","153132.13384905324","156776.22615094675","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1828.3458","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2864.2615","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137011.1","136847","3482.3852794735217","130794","145493","136045.8320476386","137976.3679523614","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14568.5499","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154443.72","153838.5","4924.761881905498","143836","166287","153078.64565120963","155808.79434879037","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1828.3458","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2864.2615","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137219.9","137129","2887.5478351016113","131129","146152","136419.51257516124","138020.28742483875","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14568.5499","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153562.54","152689.5","5140.886146951551","142964","166604","152137.55906131957","154987.52093868045","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1736.0474","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2928.7551","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136516.78","135972.5","2911.5475041598743","131675","143226","135709.7402062962","137323.8197937038","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14251.0545","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153620.98","153094.5","6460.4903032800485","142009","170894","151830.22345073023","155411.7365492698","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1736.0474","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2928.7551","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137041.8","137066.5","3321.766477435198","130835","145196","136121.05330812867","137962.5466918713","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14251.0545","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
