"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","Methods","TestKIR","CILabel","Native","JVM","Common","Reference","FlushEarly","JS","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.168","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231228.22","229542","8456.293406398694","218478","252096","228884.2550547439","233572.1849452561","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24659.9214","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189677.82","189142.5","4862.837832301763","182144","211468","188329.91012204383","191025.72987795618","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3122.2456","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.168","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223238.5","219536","8111.969753118548","216471","252518","220989.97670208558","225487.02329791442","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24659.9214","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198729.32","190087.5","16703.323691543843","182902","247375","194099.39488734733","203359.2451126527","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4480.7711","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5366.9742","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234054.8","231607","9627.965701591402","221481","265792","231386.0640640423","236723.53593595768","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29579.5817","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206907.56","205344.5","8086.260867845976","193965","243425","204666.16284151384","209148.95715848616","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4480.7711","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5366.9742","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236567.86","230647","28822.557231934905","218032","406593","228578.6547374233","244557.06526257668","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29579.5817","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190746.84","189661","5189.487314381108","183977","209917","189308.38750501486","192185.29249498513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3475.8092","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4225.495","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243456.16","233237.5","25660.837648662608","217834","319573","236343.3386935798","250568.9813064202","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25487.6256","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209084.74","205549","14163.52342132884","186456","248250","205158.81160496728","213010.6683950327","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3475.8092","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4225.495","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232073.3","227437","12792.476360688557","220073","273509","228527.4064611379","235619.19353886208","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25487.6256","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
