"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Methods","JS","CILabel","InstrumentPropertyAccessors","Reference","TestKIR","FlushEarly","Common","Enabled","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3935.8136","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145195.78","145128","3941.495408173535","137957","159734","144103.253212595","146288.306787405","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17343.3746","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145180.36","144132.5","5630.903218083983","135787","165023","143619.55325891275","146741.16674108722","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2277.1143","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3935.8136","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151553.02","145099","44392.178508772166","138853","458300","139248.13590156296","163857.90409843702","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17343.3746","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145306.58","145212.5","5482.428581069763","134164","161576","143786.9283285982","146826.23167140177","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2010.4249","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3418.8056","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144550.9","144272.5","3414.076916807463","139057","155818","143604.56615976812","145497.23384023187","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15042.3681","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146011.56","145912","6052.711519742577","134354","158516","144333.83396281104","147689.28603718895","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2010.4249","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3418.8056","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145223.52","145001","3642.965669195741","138848","160340","144213.7414344993","146233.29856550068","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15042.3681","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146018.8","145773.5","5680.122109926288","135955","158314","144444.35047813656","147593.2495218634","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1615.9958","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3013.2675","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146312.62","145372.5","4663.103945192887","140132","163446","145020.07353095873","147605.16646904126","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14618.2607","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144636.16","143809","5435.092806071691","134448","157809","143129.6291360158","146142.6908639842","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1615.9958","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3013.2675","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145169.56","145705","3554.6360998629634","138724","155316","144184.26514198148","146154.85485801852","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14618.2607","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
