"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Enabled","Dedicated","InstrumentPropertyAccessors","Common","TestKIR","FlushEarly","JS","JVM","CILabel","Native","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4392.4636","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136434.86","136260","2850.217335143238","130622","144536","135644.82006183016","137224.8999381698","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20914.3434","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153290.24","153612","4497.79269928198","143720","164380","152043.5154705308","154536.96452946917","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3018.2215","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4392.4636","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136127.18","135086.5","3869.8907894203962","130397","150788","135054.501000297","137199.858999703","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20914.3434","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153176.98","153975","5674.742574364597","139352","166305","151604.0216093181","154749.93839068193","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2668.4836","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3820.6432","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136287.9","136137.5","2781.6926299925917","131677","142387","135516.85414103698","137058.945858963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19770.685","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153326.92","152956.5","5356.148505203707","142873","166406","151842.2713798039","154811.56862019614","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2668.4836","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3820.6432","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136610.58","136438","2817.6638107858507","132160","145320","135829.56343841742","137391.59656158256","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19770.685","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153558.94","152056","4559.073538224491","147612","164859","152295.2292885958","154822.65071140422","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2011.5551","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3850.3193","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136701.08","136413.5","3689.007553280864","130825","150740","135678.53927534487","137723.6207246551","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17766.7491","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151979.98","151935.5","4330.130480618763","144126","163291","150779.7290665029","153180.2309334971","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2011.5551","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3850.3193","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136564.7","136350","3164.9467174803744","131324","145296","135687.4215278784","137441.9784721216","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17766.7491","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-linux-large","True","System.String[]","2026-05-30 03:40:17","32422b0a99aca47a41298e214aafbf410b74c3d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
