"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Enabled","Methods","Dedicated","Common","FlushEarly","Native","JVM","CILabel","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3965.8615","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138600.9","136375","13049.421925190121","130694","225250","134983.78478432438","142218.0152156756","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18518.4733","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153795.36","153836.5","5205.8787325445055","144820","168556","152352.3640357037","155238.35596429626","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2606.283","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3965.8615","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136224.96","136016","3137.3354348906346","130282","146329","135355.33498493972","137094.58501506026","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18518.4733","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151771.86","151159.5","4534.496714012234","141492","162451","150514.96163670748","153028.7583632925","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2104.325","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3345.7204","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135691.04","135279.5","2700.734971470257","131016","145083","134942.43445909442","136439.6455409056","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17694.6964","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153430.16","153958","4758.741328870697","145573","164770","152111.1042006856","154749.2157993144","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2104.325","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3345.7204","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136087.18","135526.5","2959.6912669246776","131496","143799","135266.79543609606","136907.56456390393","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17694.6964","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153777.6","152920","4919.573546309783","144188","164617","152413.9637844645","155141.23621553552","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1775.0395","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2859.4445","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136667.68","135512","4573.417596038557","130224","153979","135399.99331862014","137935.36668137985","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14108.0368","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152792.84","152108","4885.064732761","143688","161693","151438.76913956433","154146.91086043566","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1775.0395","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2859.4445","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135387.8","135106","3147.5460152899027","131214","148352","134515.3447564488","136260.2552435512","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14108.0368","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
