"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Reference","Common","Dedicated","JS","InstrumentPropertyAccessors","Enabled","Native","FlushEarly","JVM","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4255.2461","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136961.18","136344","2874.846158723373","131580","146600","136164.31330022906","137758.04669977093","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","21809.717","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156370.14","156536.5","4434.921281817566","144522","167303","155140.84253833853","157599.4374616615","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2619.0015","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4255.2461","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139919.44","137322.5","20103.0210849321","132189","278272","134347.1668476553","145491.71315234472","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","21809.717","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155477.46","154773.5","4880.8403015656795","145782","165045","154124.56009215073","156830.35990784926","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2514.1344","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4443.1605","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136604.52","136621","2813.531836953515","131406","147857","135824.6487631303","137384.39123686968","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17504.6106","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155248.34","154757","5133.62674286922","145298","169086","153825.37126547034","156671.30873452965","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2514.1344","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4443.1605","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138578.38","137904.5","5156.106725712607","132206","167351","137149.180132133","140007.579867867","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17504.6106","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156036.96","156124.5","4543.191097159146","147818","167349","154777.6516766532","157296.2683233468","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1608.109","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2763.9833","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139197","137682","7180.701801867764","132082","174657","137206.61100839058","141187.38899160942","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16429.4165","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155857.86","154627.5","6196.822009773745","144751","176520","154140.1885729525","157575.53142704748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1608.109","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2763.9833","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137926.08","137251.5","4884.078451458373","132442","167447","136572.28252279366","139279.87747720632","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16429.4165","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
