"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","FlushEarly","CILabel","Dedicated","Reference","Enabled","JVM","TestKIR","Native","Common","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4516.0135","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222239.1","219427","7278.068212662154","215908","256150","220221.72241625225","224256.47758374776","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26321.2626","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186107.88","185232.5","4929.436456758976","181946","217969","184741.50992516705","187474.25007483296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6074.0652","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4516.0135","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220938.18","219737.5","4264.762163811431","216519","242118","219756.04823949788","222120.3117605021","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26321.2626","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186666.92","185566","4366.062700382746","181339","204770","185456.7091633297","187877.13083667032","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4544.1753","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4672.2828","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220504.18","218372.5","6994.702131307257","215597","255954","218565.34748670447","222443.0125132955","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24257.3801","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185561.56","185287.5","2713.2339177160707","181346","198343","184809.48992795235","186313.63007204764","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4544.1753","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4672.2828","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225845.84","218670.5","25819.984221497252","216185","391428","218688.90551420505","233002.77448579494","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24257.3801","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185591.16","185236.5","2229.8288610087898","181777","192308","184973.08297346614","186209.23702653387","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4029.9293","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4899.3369","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221997.12","220376.5","6621.907236944194","216924","261962","220161.62095944045","223832.61904055954","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27681.4952","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186435.84","185760.5","4109.8215183451775","182043","205639","185296.65559528538","187575.0244047146","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4029.9293","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4899.3369","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220882.08","218762","8094.71139226604","216516","267537","218638.34047565","223125.81952434996","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27681.4952","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
