"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","InstrumentPropertyAccessors","JS","Native","Dedicated","Reference","Enabled","TestKIR","Methods","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5128.0242","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224920.28","223244","6308.243534568761","218206","253037","223171.72410197745","226668.83589802255","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28422.1065","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192664.44","191143","4829.927760308215","186414","208169","191325.6523285936","194003.2276714064","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3755.2947","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5128.0242","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244179.76","235956","24328.512061466026","218522","292610","237436.2405049022","250923.2794950978","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28422.1065","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205545.18","196983.5","19279.615145293028","185887","254270","200201.1433297018","210889.2166702982","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5304.5263","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4765.3557","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227494.4","225444","6291.33789995646","220930","248009","225750.5301048163","229238.26989518368","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26747.3541","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196855","195313.5","6756.105021476834","188953","224121","194982.30323136286","198727.69676863714","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5304.5263","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4765.3557","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230202.94","226235.5","9921.823113434633","219837","266891","227452.75094514474","232953.12905485526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26747.3541","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203922.28","199669.5","10890.055251897842","188914","232588","200903.71068888364","206940.84931111636","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4580.2107","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7538.8415","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230887","228774","11594.905130254057","220554","285199","227673.0562704316","234100.9437295684","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30057.4216","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210868.26","205109.5","15814.105209719632","189131","238744","206484.81367538142","215251.7063246186","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4580.2107","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7538.8415","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254044.14","251251.5","17219.974896293537","229541","313311","249271.00647975574","258817.2735202443","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30057.4216","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
