"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Reference","Methods","Native","Dedicated","FlushEarly","JS","Enabled","InstrumentPropertyAccessors","TestKIR","Common","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"89799","134739","39705.732533224975","59465","134739","-8774.6960756435","188372.6960756435","commonmain-plain-jar","1976.6742","3","False","20","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","2026-07-25 01:30:59","317b963f4641626c346e27eb8c3bfc8dd6bcd0d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.91","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6174.5751","3","False","20","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","2026-07-25 01:30:59","317b963f4641626c346e27eb8c3bfc8dd6bcd0d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.91","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"9419","11435","1746.1159755296896","8384","11435","5084.081727413999","13753.918272586001","commonmain-plain-linux-exe","17351.3913","3","False","20","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","2026-07-25 01:30:59","317b963f4641626c346e27eb8c3bfc8dd6bcd0d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.91","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"107533.33333333333","117819","8986.190201266238","101205","117819","85224.1622070653","129842.50445960136","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2303.8288","3","False","20","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","2026-07-25 01:30:59","317b963f4641626c346e27eb8c3bfc8dd6bcd0d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.91","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4404.1067","3","False","20","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","2026-07-25 01:30:59","317b963f4641626c346e27eb8c3bfc8dd6bcd0d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.91","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"47343","49923","2234.7592711520406","46010","49923","41794.97287287334","52891.02712712666","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20565.8654","3","False","20","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","2026-07-25 01:30:59","317b963f4641626c346e27eb8c3bfc8dd6bcd0d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.91","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
