"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Common","Methods","Enabled","Native","Dedicated","TestKIR","CILabel","JVM","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.0232","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137336.54","136988.5","3502.8524015931557","132569","152798","136365.59885082845","138307.48114917157","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20360.9651","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155168.62","153692","5262.469587444237","147644","171532","153709.93785102063","156627.30214897936","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2299.5304","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.0232","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136453.66","136042","2845.4244087155585","130861","142836","135664.94859325545","137242.37140674455","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20360.9651","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155485.64","155343","4455.3056825427775","145123","165719","154250.6922707291","156720.58772927092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1712.5746","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3363.6476","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137878.28","137179.5","3321.920258783206","134052","151906","136957.49068211374","138799.06931788626","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18036.6208","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154868.8","154171.5","5201.236485643759","141783","167870","153427.09080089498","156310.509199105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1712.5746","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3363.6476","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137614.34","137645.5","3932.8864230657223","131256","155177","136524.19950152058","138704.48049847942","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18036.6208","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156274.12","155031.5","5866.766823804909","147257","173269","154647.93520293693","157900.30479706306","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2161.8009","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4098.8685","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137521.18","137044.5","3125.2989910191486","130293","146574","136654.89131696423","138387.46868303575","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19275.2295","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154685.42","153864.5","5777.817641424054","143385","171451","153083.89065839362","156286.9493416064","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2161.8009","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4098.8685","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137368.26","136459","5045.659164114058","130500","166358","135969.67463428358","138766.84536571644","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19275.2295","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
