"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JVM","Common","FlushEarly","Dedicated","Enabled","JS","InstrumentPropertyAccessors","CILabel","Reference","TestKIR","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"44005","46171","3249.9819999501537","40268","46171","35936.574675109565","52073.425324890435","commonmain-plain-jar","1917.0664","3","False","20","True","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","2026-08-29 04:40:45","cf5d3ad0e1b8c75650cc41a6f109aecff7faa769","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","82","0.03","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4902.9973","3","False","20","True","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","2026-08-29 04:40:45","cf5d3ad0e1b8c75650cc41a6f109aecff7faa769","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","82","0.03","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"7468","8242","677.7219193740158","6981","8242","5785.483389878919","9150.516610121082","commonmain-plain-linux-exe","14300.0543","3","False","20","True","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","2026-08-29 04:40:45","cf5d3ad0e1b8c75650cc41a6f109aecff7faa769","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","82","0.03","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"103564","104481","907.1653653000648","102667","104481","101311.86567822137","105816.13432177863","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1989.3718","3","False","20","True","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","2026-08-29 04:40:45","cf5d3ad0e1b8c75650cc41a6f109aecff7faa769","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","82","0.03","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3580.7779","3","False","20","True","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","2026-08-29 04:40:45","cf5d3ad0e1b8c75650cc41a6f109aecff7faa769","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","82","0.03","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46116.333333333336","59233","12322.943533642168","34781","59233","15523.31783799882","76709.34882866785","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15431.7404","3","False","20","True","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","2026-08-29 04:40:45","cf5d3ad0e1b8c75650cc41a6f109aecff7faa769","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","82","0.03","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
