"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","JS","JVM","Enabled","FlushEarly","InstrumentPropertyAccessors","Methods","Native","Dedicated","TestKIR","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"112980","126631","22758.90170900169","86707","126631","56478.61047894485","169481.38952105516","commonmain-plain-jar","1965.754","3","False","20","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","True","ci-linux-small","2026-07-04 01:51:26","03a7e69a601419db9f21186732de21002810b935","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","85","0.02","165","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6199.7634","3","False","20","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","True","ci-linux-small","2026-07-04 01:51:26","03a7e69a601419db9f21186732de21002810b935","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","85","0.02","165","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11862.333333333334","11957","88.00757543151234","11783","11957","11643.845184659061","12080.821482007606","commonmain-plain-linux-exe","16825.5258","3","False","20","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","True","ci-linux-small","2026-07-04 01:51:26","03a7e69a601419db9f21186732de21002810b935","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","85","0.02","165","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112020.66666666667","116180","6260.964888364519","104820","116180","96477.15668282525","127564.17665050809","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2395.6572","3","False","20","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","True","ci-linux-small","2026-07-04 01:51:26","03a7e69a601419db9f21186732de21002810b935","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","85","0.02","165","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4567.6073","3","False","20","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","True","ci-linux-small","2026-07-04 01:51:26","03a7e69a601419db9f21186732de21002810b935","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","85","0.02","165","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"47022","49457","2122.103908860261","45567","49457","41753.65176897604","52290.34823102396","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18467.9751","3","False","20","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","True","ci-linux-small","2026-07-04 01:51:26","03a7e69a601419db9f21186732de21002810b935","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","85","0.02","165","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
