"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","Methods","Enabled","Native","Reference","FlushEarly","InstrumentPropertyAccessors","TestKIR","Common","JVM","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"173571.32","162224.5","28391.08567299653","152762","260161","165701.71255178738","181440.92744821263","commonmain-plain-jar","1869.5479","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6412.2275","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137205.88","136787.5","3658.808999036239","127990","148422","136191.70988752032","138220.0501124797","commonmain-plain-linux-exe","17302.5368","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"161106.58","160827","4435.116656726801","152160","175851","159877.2283831766","162335.93161682336","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2700.1857","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3699.2296","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136527.96","136487.5","2534.986341870383","130118","142356","135825.29763523967","137230.62236476032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","40564.0654","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160748.28","160546.5","4975.378611539353","150051","170892","159369.17540956553","162127.38459043446","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2700.1857","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3699.2296","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135745.7","135862","2689.804190202821","131301","144147","135000.1243170811","136491.27568291893","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","40564.0654","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160730.98","161179","4690.06438096014","150406","170216","159430.96047943248","162030.99952056754","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2336.2707","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
