"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","Methods","JVM","CILabel","FlushEarly","InstrumentPropertyAccessors","Reference","Enabled","TestKIR","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4069.2154","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136609.1","135871.5","3156.5694388764805","130650","147039","135734.14359103783","137484.05640896218","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15962.2091","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153047.32","153346.5","4956.0554156774015","144864","165763","151673.57152619417","154421.06847380585","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2681.8611","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4069.2154","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137785.48","137009.5","5577.504951067606","131583","165330","136239.47450338345","139331.48549661657","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15962.2091","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152239.06","151984.5","5542.341704348001","143083","166796","150702.8012581034","153775.3187418966","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1696.5519","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2964.255","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137416.6","136125","4967.434347829873","131147","162082","136039.6974471198","138793.5025528802","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14122.0226","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154728.12","154483.5","5560.8782951866115","145646","166280","153186.72317726322","156269.51682273677","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1696.5519","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2964.255","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137083.86","136820","2725.522058286097","132346","145128","136328.38382916243","137839.33617083755","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14122.0226","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154044.16","153194.5","5382.214703700949","145129","165837","152552.28619820275","155536.03380179725","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1437.5011","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2644.4349","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138192.46","137226","3539.0024087852435","132467","148574","137211.49858006006","139173.42141993993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14097.2531","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153016.56","152679.5","4344.029133025172","143470","165758","151812.45655660747","154220.66344339252","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1437.5011","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2644.4349","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137678.86","136942","5189.962989958874","131112","160447","136240.2756544716","139117.44434552838","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14097.2531","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
