"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Dedicated","Methods","JS","Native","Reference","CILabel","FlushEarly","JVM","Enabled","TestKIR","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"110935.33333333333","119688","9379.899004431409","101034","119688","87648.73830805943","134221.92835860723","commonmain-plain-jar","2028.0976","3","False","20","System.Boolean[]","False","System.String[]","True","True","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-07-13 01:44:33","aead9d64e419a1dbe42db71bcaf3d7d91d6ad820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","84","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6517.7707","3","False","20","System.Boolean[]","False","System.String[]","True","True","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-07-13 01:44:33","aead9d64e419a1dbe42db71bcaf3d7d91d6ad820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","84","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11244","11772","467.6451646280543","10882","11772","10083.021234762095","12404.978765237905","commonmain-plain-linux-exe","16962.8783","3","False","20","System.Boolean[]","False","System.String[]","True","True","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-07-13 01:44:33","aead9d64e419a1dbe42db71bcaf3d7d91d6ad820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","84","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146771","233102","75027.66503763795","97331","233102","-39493.14320644218","333035.1432064422","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2350.9271","3","False","20","System.Boolean[]","False","System.String[]","True","True","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-07-13 01:44:33","aead9d64e419a1dbe42db71bcaf3d7d91d6ad820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","84","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4114.8288","3","False","20","System.Boolean[]","False","System.String[]","True","True","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-07-13 01:44:33","aead9d64e419a1dbe42db71bcaf3d7d91d6ad820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","84","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46328.333333333336","47071","683.0558786317071","45727","47071","44632.57460311517","48024.0920635515","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20060.6392","3","False","20","System.Boolean[]","False","System.String[]","True","True","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-07-13 01:44:33","aead9d64e419a1dbe42db71bcaf3d7d91d6ad820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","84","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
