"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Common","JS","Native","CILabel","FlushEarly","InstrumentPropertyAccessors","Methods","Dedicated","Enabled","TestKIR","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"83848.66666666667","112542","26429.122844569272","60501","112542","18235.563555008324","149461.76977832502","commonmain-plain-jar","1896.0621","3","False","20","True","True","True","True","ci-linux-small","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","2026-06-04 02:37:06","32337b2481250350b161bf20f41553ac5c87b76c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","86","0.12","154","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6456.2102","3","False","20","True","True","True","True","ci-linux-small","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","2026-06-04 02:37:06","32337b2481250350b161bf20f41553ac5c87b76c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","86","0.12","154","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11070","12078","1007.0014895718874","10064","12078","8570.01190136166","13569.98809863834","commonmain-plain-linux-exe","16467.6638","3","False","20","True","True","True","True","ci-linux-small","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","2026-06-04 02:37:06","32337b2481250350b161bf20f41553ac5c87b76c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","86","0.12","154","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137333.66666666666","159606","27036.541833846524","107252","159606","70212.58143203682","204454.7519012965","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2430.0104","3","False","20","True","True","True","True","ci-linux-small","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","2026-06-04 02:37:06","32337b2481250350b161bf20f41553ac5c87b76c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","86","0.12","154","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4453.2144","3","False","20","True","True","True","True","ci-linux-small","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","2026-06-04 02:37:06","32337b2481250350b161bf20f41553ac5c87b76c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","86","0.12","154","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46638.666666666664","47365","1197.0849315455162","45257","47365","43666.776244542874","49610.557088790454","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","24401.8083","3","False","20","True","True","True","True","ci-linux-small","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","2026-06-04 02:37:06","32337b2481250350b161bf20f41553ac5c87b76c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","86","0.12","154","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
