"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JVM","Enabled","Dedicated","Common","Native","CILabel","JS","FlushEarly","InstrumentPropertyAccessors","Reference","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5111.9762","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227648.3","226971","4032.68379390607","220944","240821","226530.49708163558","228766.1029183644","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22827.321","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193555.54","191366","6326.760257470659","186091","211827","191801.85152824837","195309.22847175164","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3427.4041","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5111.9762","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227003.94","225993","6621.816716655602","219375","268895","225168.46605038433","228839.41394961567","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22827.321","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194120.22","192106","5930.792177152342","187025","212616","192476.28828042117","195764.15171957883","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4443.1465","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4570.1586","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228934.94","228273","4602.073216962733","222905","246112","227659.31038574132","230210.56961425868","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23283.0541","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196290.92","192240.5","9688.95164784538","184833","224031","193605.27962219022","198976.5603778098","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4443.1465","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4570.1586","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231620.6","231581","7518.394099589","217088","256274","229536.6074790307","233704.5925209693","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23283.0541","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191911.56","188593","8100.347355011188","183001","222000","189666.2582664796","194156.8617335204","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2715.1094","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4059.8952","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225766.76","222365.5","8561.808502833012","216480","255183","223393.54776218307","228139.97223781695","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21207.3007","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190918.7","187467.5","8522.031079765538","181189","220369","188556.513501334","193280.88649866602","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2715.1094","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4059.8952","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228587.44","219522.5","41006.422884246225","215896","478240","217221.03948008775","239953.84051991225","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21207.3007","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
