"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Reference","InstrumentPropertyAccessors","Native","Enabled","TestKIR","JS","JVM","Dedicated","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3301.2663","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137742.68","137514.5","3731.1371218491577","130407","155065","136708.4615547246","138776.89844527538","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19044.0925","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154845.24","154333","5425.666096829561","145228","173189","153341.3220865073","156349.15791349267","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1894.7992","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3301.2663","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137202.3","137211.5","2407.778756617046","132483","143966","136534.89777893087","137869.7022210691","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19044.0925","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155206.88","154589.5","5784.91331542131","146118","170278","153603.383837907","156810.37616209302","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2026.4458","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2901.322","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137272.52","136508","3071.3314286299023","133317","152272","136421.1903620614","138123.84963793858","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18897.2517","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152526.78","152043.5","4443.8443335490865","145335","165348","151295.00919458634","153758.55080541366","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2026.4458","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2901.322","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137924.96","137864","3713.717989359154","131074","156430","136895.5698919134","138954.3501080866","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18897.2517","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153476.34","152312","5049.595799584722","146132","169375","152076.66345460212","154876.01654539787","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1868.6613","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2663.39","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136325.9","136469.5","2125.82137067064","132273","141702","135736.65237893735","136915.14762106264","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14986.5592","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155402.44","154421.5","5477.839042721059","146726","174042","153884.06048372426","156920.81951627575","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1868.6613","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2663.39","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137458.94","137116.5","3478.192319675993","132020","152769","136494.83427679856","138423.04572320145","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14986.5592","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
