"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Dedicated","FlushEarly","JVM","Reference","CILabel","Methods","Enabled","Common","TestKIR","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5142.6357","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223484.36","220662.5","9326.00641778086","217139","273071","220899.32290727436","226069.39709272562","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21527.0854","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192197.08","189384.5","10620.210022981886","181847","229585","189253.30797024866","195140.85202975132","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4212.8525","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5142.6357","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228978.96","224682.5","11066.03818079332","217610","263174","225911.61070970478","232046.3092902952","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21527.0854","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195459.66","193399.5","9672.051985837063","183910","244417","192778.7039695077","198140.6160304923","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4861.636","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8777.958","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224824.1","223597","4636.41838918705","218291","236809","223538.95038970243","226109.2496102976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29652.632","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193800.82","193829","5677.1756117036275","185305","222056","192227.18720577518","195374.45279422484","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4861.636","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8777.958","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227295.5","224362.5","8843.28298593841","219407","261330","224844.26701601502","229746.73298398498","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29652.632","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200282.38","196354","12927.447670008814","186749","246613","196699.0743229282","203865.6856770718","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4308.1314","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5378.3296","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229188.5","226401","11153.294149153919","218725","278957","226096.9645892295","232280.0354107705","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31121.9926","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198274.26","196451.5","11346.58388905791","185317","249722","195129.1474067881","201419.3725932119","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4308.1314","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5378.3296","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231249.46","225233","18590.64781803705","219560","320243","226096.3953295963","236402.52467040368","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31121.9926","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
