>;3
>;2
>;0
>;0
>;0
>;0
>;0
>;0
>;0
>;0
>;0
>;0
<;47
>;0
<;2
<;691
>;0
<;2
<;899
>;0
>;0
<;2
>;0
<;1
<;169
<;1276
>;0
>;0
>;0
<;4
>;0
<;1
<;158
>;0
<;1
<;359
<;1832
>;0
>;0
>;0
>;0
<;1
>;0
<;1
<;169
>;0
<;1
<;283
>;0
>;0
<;1
>;0
<;1
<;197
<;591
<;2561
>;0
>;0
>;0
>;0
>;0
<;1
>;0
<;1
<;410
>;0
<;1
<;499
>;0
>;0
<;1
>;0
<;1
<;157
<;777
>;0
>;0
>;0
<;0
>;0
<;0
<;76
>;0
<;1
<;174
<;1037
<;3755
>;0
>;0
>;0
>;0
>;0
>;0
<;1
>;0
<;8
<;137
>;0
<;1
<;949
>;0
>;0
<;1
>;0
<;3
<;100
<;1154
>;0
>;0
>;0
<;0
>;0
<;0
<;142
>;0
<;1
<;275
<;1535
>;0
>;0
>;0
>;0
<;1
>;0
<;1
<;112
>;0
<;1
<;197
>;0
>;0
<;1
>;0
<;0
<;93
<;840
<;2533
<;6475
>;0
>;0
>;0
>;0
>;0
>;0
>;0
<;0
>;0
<;0
<;54
>;0
<;0
<;119
>;0
>;0
<;0
>;0
<;0
<;65
<;250
>;0
>;0
>;0
<;0
>;0
<;0
<;62
>;0
<;0
<;131
<;453
>;0
>;0
>;0
>;0
<;0
>;0
<;1
<;78
>;0
<;0
<;141
>;0
>;0
<;0
>;0
<;0
<;62
<;261
<;771
>;0
>;0
>;0
>;0
>;0
<;0
>;0
<;0
<;53
>;0
<;0
<;118
>;0
>;0
<;0
>;0
<;0
<;79
<;249
>;0
>;0
>;0
<;0
>;0
<;0
<;77
>;0
<;0
<;155
<;466
<;1320
<;7989
>;0
>;0
>;0
>;0
>;0
>;0
>;0
>;0
<;2
>;0
<;1
<;681
>;0
<;1
<;740
>;0
>;0
<;0
>;0
<;0
<;73
<;860
>;0
>;0
>;0
<;0
>;0
<;0
<;59
>;0
<;0
<;160
<;1064
>;0
>;0
>;0
>;0
<;0
>;0
<;0
<;91
>;0
<;0
<;180
>;0
>;0
<;0
>;0
<;0
<;94
<;325
<;1435
>;0
>;0
>;0
>;0
>;0
<;0
>;0
<;0
<;91
>;0
<;0
<;298
>;0
>;0
<;0
>;0
<;0
<;59
<;546
>;0
>;0
>;0
<;0
>;0
<;0
<;54
>;0
<;0
<;110
<;709
<;2190
>;0
>;0
>;0
>;0
>;0
>;0
<;0
>;0
<;0
<;68
>;0
<;0
<;125
>;0
>;0
<;1
>;0
<;1
<;103
<;278
>;0
>;0
>;0
<;0
>;0
<;0
<;57
>;0
<;1
<;134
<;510
>;0
>;0
>;0
>;0
<;1
>;0
<;0
<;63
>;0
<;0
<;146
>;0
>;0
<;1
>;0
<;1
<;114
<;340
<;1195
<;3429
<;11544
>;1
<;27
<;11942
<;17131
