"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Common","Dedicated","CILabel","FlushEarly","Enabled","Reference","TestKIR","JVM","JS","Methods","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5216.166","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236931.28","220462.5","28786.743580349903","215062","318915","228952.00177517405","244910.55822482595","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22369.9551","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187007.6","186721.5","3015.010840336555","182023","202831","186171.88163266325","187843.31836733676","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3791.187","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5216.166","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219747.2","218252","5482.260940561674","215398","240783","218227.59479617633","221266.8052038237","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22369.9551","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187160.8","185628.5","5738.358998877641","181690","210819","185570.2080360922","188751.39196390778","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5685.4668","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4724.73","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231458.8","227747","14295.818663696951","216440","274226","227496.20123467236","235421.3987653276","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28554.1593","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209530.58","203363","23531.26486109187","191595","329926","203008.04615435548","216053.1138456445","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5685.4668","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4724.73","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226201.12","224654.5","8320.148680578897","217138","257026","223894.8924474131","228507.3475525869","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28554.1593","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192003.92","188816","8310.473298341616","181824","220646","189700.3743265422","194307.46567345783","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3914.7614","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5025.095","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221109.54","218549.5","9518.49102517445","214936","277819","218471.14889617887","223747.93110382115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27966.4782","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185751.22","185482.5","2916.9783659374193","181802","199953","184942.6748482135","186559.7651517865","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3914.7614","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5025.095","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239750.68","228678","30823.37986701203","215243","392005","231206.87499816317","248294.48500183682","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27966.4782","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
