"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Reference","JS","JVM","FlushEarly","TestKIR","CILabel","InstrumentPropertyAccessors","Common","Methods","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4290.1668","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138155.52","137768","2980.3956814421776","132274","145343","137329.39646518897","138981.643534811","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16741.8361","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155771.56","155284.5","6570.493058130324","140391","176552","153950.3122427199","157592.8077572801","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2431.6449","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4290.1668","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137848.86","137536","3362.189920517973","131731","148107","136916.90850136534","138780.81149863463","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16741.8361","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156869.28","156580","5404.941378752882","147448","172143","155371.10668527387","158367.45331472612","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1983.5449","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3043.9854","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137408.56","137238.5","2400.7329336632824","133831","142094","136743.1107814132","138074.00921858678","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14784.8171","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158602.54","157933.5","5946.879717626579","147284","174334","156954.1490417081","160250.93095829192","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1983.5449","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3043.9854","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138484.12","137628.5","4235.43511795038","132947","162109","137310.1172818741","139658.1227181259","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14784.8171","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157468.08","157233.5","5958.875341908753","146122","172401","155816.36402429646","159119.7959757035","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2040.9718","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2973.2306","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137434.72","137131.5","3183.7445674897367","130670","144913","136552.23102969077","138317.20897030924","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14240.8584","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156793.08","155641","5726.136635549277","143490","172172","155205.87590236092","158380.28409763906","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2040.9718","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2973.2306","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138246.84","138132","3819.619285227473","128928","151643","137188.09555033097","139305.58444966903","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14240.8584","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
