"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","InstrumentPropertyAccessors","JS","Common","Methods","JVM","TestKIR","Native","CILabel","FlushEarly","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4800.8391","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224190.18","223570.5","4529.45711794088","218058","243505","222934.67854146965","225445.68145853034","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24858.7718","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185560.84","184739.5","3969.8300295697127","179483","205016","184460.45925624584","186661.22074375415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3243.4675","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4800.8391","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238686.06","239839.5","9837.784588441213","220860","261544","235959.165235819","241412.954764181","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24858.7718","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186714.06","186295","4903.800818315757","179560","209845","185354.79576161006","188073.32423838993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3311.6947","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4392.8786","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223459.6","222024.5","5347.694693100219","217259","250659","221977.29465696707","224941.90534303294","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24998.0486","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187476.84","186819","4404.657091798013","181320","205166","186255.93134382257","188697.74865617743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3311.6947","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4392.8786","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222731.9","222055","3875.5824381238335","216911","234348","221657.6433557664","223806.1566442336","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24998.0486","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184972.62","184245.5","3327.4251728963777","180282","194853","184050.30479777083","185894.93520222916","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2459.9529","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4026.9345","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221534.86","220767.5","3789.2710300509875","215635","235891","220484.5276574877","222585.19234251228","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19967.0027","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183151.3","182743.5","2776.686207679644","178401","192253","182381.64185050243","183920.95814949754","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2459.9529","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4026.9345","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221727.08","221072","3074.54506234795","214883","229343","220874.85958824123","222579.30041175874","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19967.0027","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
