"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","FlushEarly","JS","Reference","Enabled","Dedicated","TestKIR","Common","InstrumentPropertyAccessors","Native","JVM","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"79887.66666666667","91125","9842.511332649474","72797","91125","55452.58742681607","104322.74590651727","commonmain-plain-jar","2055.9982","3","False","20","ci-linux-small","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","2026-08-23 00:38:42","61d2d0c5001221d512c9902fbecfbd8f880ddb2e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","82","0.02","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6336.0276","3","False","20","ci-linux-small","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","2026-08-23 00:38:42","61d2d0c5001221d512c9902fbecfbd8f880ddb2e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","82","0.02","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11750.333333333334","12001","268.494568536001","11467","12001","11083.76706422642","12416.899602440248","commonmain-plain-linux-exe","16146.9257","3","False","20","ci-linux-small","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","2026-08-23 00:38:42","61d2d0c5001221d512c9902fbecfbd8f880ddb2e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","82","0.02","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"179261.33333333334","217015","50214.44953729288","122273","217015","54598.63171580418","303924.0349508625","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2291.9933","3","False","20","ci-linux-small","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","2026-08-23 00:38:42","61d2d0c5001221d512c9902fbecfbd8f880ddb2e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","82","0.02","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4628.4034","3","False","20","ci-linux-small","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","2026-08-23 00:38:42","61d2d0c5001221d512c9902fbecfbd8f880ddb2e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","82","0.02","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"57786","63557","9055.577452597929","47349","63557","35304.56765632285","80267.43234367715","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19459.7677","3","False","20","ci-linux-small","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","2026-08-23 00:38:42","61d2d0c5001221d512c9902fbecfbd8f880ddb2e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","82","0.02","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
