"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Dedicated","Native","JS","Methods","FlushEarly","JVM","Enabled","InstrumentPropertyAccessors","CILabel","TestKIR","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3910.362","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137181.74","137309","3692.8335993170467","131419","152731","136158.13874949072","138205.34125050926","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17550.0078","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152680.2","153218","4582.2637708130815","144135","163698","151410.06128407328","153950.33871592674","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2242.5522","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3910.362","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136815.52","137009.5","3278.8007964585377","131254","146784","135906.6827872844","137724.35721271558","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17550.0078","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155269.44","154705.5","5492.355719859138","147277","170468","153747.03666611316","156791.84333388685","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2624.8759","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3346.5743","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136924.52","136708.5","2884.9524895461927","130656","144845","136124.85196824642","137724.18803175355","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","21550.8335","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154804.2","155141.5","4526.229741569619","142585","164054","153549.59312455895","156058.80687544108","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2624.8759","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3346.5743","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137835.52","137295","3002.1861778594966","133115","144716","137003.3564477384","138667.6835522616","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","21550.8335","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155482.5","155839","5601.4279420337025","142145","168124","153929.8633886012","157035.1366113988","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1731.5849","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3276.3664","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136695.6","136102","2617.498431865113","132431","142427","135970.06645076055","137421.13354923946","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14916.0288","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154350.96","154167","4300.136181801783","146730","169188","153159.02306196233","155542.89693803765","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1731.5849","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3276.3664","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136961.98","136973.5","2723.1199055495154","132429","144969","136207.16967193034","137716.79032806968","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14916.0288","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
