"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Native","FlushEarly","InstrumentPropertyAccessors","Enabled","Common","Methods","CILabel","Dedicated","TestKIR","JVM","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7898.7235","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242821","240355","7697.406075147282","233307","262713","240687.387890953","244954.612109047","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21460.1247","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187063.16","185959","5942.5632975430835","180071","208647","185415.96549231338","188710.35450768663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3146.3872","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7898.7235","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244327.86","241703","10639.550130527135","230306","286361","241378.72716594057","247276.9928340594","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21460.1247","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189020.86","185265.5","9234.491084637253","176668","220378","186461.18966343254","191580.53033656743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3433.7741","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4568.6901","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233244.04","230899","8083.827659656062","225496","270018","231003.31729241423","235484.7627075858","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27234.3858","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183227.5","181267.5","5752.714838248467","176671","204294","181632.92880043568","184822.07119956432","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3433.7741","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4568.6901","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234576.24","231277.5","8538.755834811684","227870","276906","232209.4176357529","236943.06236424707","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27234.3858","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183968","182317","7000.743715593978","174284","206475","182027.49284497893","185908.50715502107","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3316.2957","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3891.3071","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233505.48","231147.5","7531.632476754157","226188","258393","231417.81798809467","235593.14201190535","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","24870.9558","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182825.2","182502","4343.706773092797","175887","196049","181621.18591022198","184029.21408977805","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3316.2957","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3891.3071","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240669.62","242557.5","7613.257933556248","227829","253626","238559.33256579796","242779.90743420203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","24870.9558","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
