"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JS","Reference","Methods","FlushEarly","Native","InstrumentPropertyAccessors","TestKIR","JVM","Dedicated","Enabled","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3079.718","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136452.26","136463.5","2607.375158417886","131104","145245","135729.53247899908","137174.98752100093","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14797.2347","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154689.54","154411","3855.6789772902985","147673","166038","153620.80031363922","155758.2796863608","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1654.3836","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3079.718","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136771.94","136423.5","2486.5073070802073","130299","145179","136082.71533810394","137461.16466189607","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14797.2347","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153708.22","152707","5366.268152952082","145660","170969","152220.7663565578","155195.6736434422","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1475.1288","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2982.217","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137344.66","136355.5","4216.455797738869","131882","152483","136175.91808103543","138513.40191896458","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14252.1212","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154354.64","153897.5","6016.5477923093795","145710","169655","152686.93803663625","156022.34196336378","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1475.1288","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2982.217","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136997.82","136654","2696.1542580618984","130801","144240","136250.4841680718","137745.15583192822","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14252.1212","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152629.32","152471.5","4432.798694149909","144148","163221","151400.61088962285","153858.02911037716","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1446.1345","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2294.4951","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136776.04","136424.5","2550.8721034507525","130920","143581","136068.97432678248","137483.10567321753","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14461.5542","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153145.54","153715","4797.155892988329","142739","167041","151815.8362267623","154475.24377323771","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1446.1345","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2294.4951","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137263.5","137320","3032.305206826473","130684","146323","136422.98787884528","138104.01212115472","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14461.5542","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
