"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Methods","TestKIR","InstrumentPropertyAccessors","FlushEarly","Common","Native","Dedicated","JVM","Enabled","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3125.651","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137206.66","137028.5","3400.503519798688","131379","145934","136264.08851346705","138149.23148653295","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14539.7205","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153996.4","153254.5","4876.966111116582","144397","167125","152644.5739629553","155348.2260370447","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1791.7291","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3125.651","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136997.86","137060.5","2964.0339033148734","131128","143402","136176.2717187013","137819.44828129868","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14539.7205","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153801.04","153493.5","5693.8784133596","142302","170890","152222.7774253634","155379.30257463662","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1696.0159","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2673.5612","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137762.48","136946","4759.842143841087","132272","164665","136443.1190703433","139081.84092965673","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14282.7922","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153594.7","153084","4809.136704954309","145074","166854","152261.67531511528","154927.72468488474","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1696.0159","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2673.5612","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141485.78","137060","25093.220836118348","131420","313545","134530.29404690792","148441.26595309208","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14282.7922","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154610.38","154106","5330.073671390385","144331","167170","153132.9589549925","156087.8010450075","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1282.391","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2364.4686","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137279.36","136228.5","5106.916601421796","133060","167266","135863.79493895074","138694.92506104923","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14000.2274","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156116.86","156397","5173.501052794452","145220","170428","154682.83867065256","157550.8813293474","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1282.391","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2364.4686","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139291.64","138556","4514.465456457832","133215","158650","138040.29401802405","140542.98598197597","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14000.2274","50","False","500","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","True","True","2026-06-06 03:44:19","6355ee3e9bca3de4ea464e48000d4e0d4391a302","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","164","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
