"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Reference","InstrumentPropertyAccessors","Native","JS","FlushEarly","TestKIR","JVM","Methods","CILabel","Dedicated","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"69876","74417","6584.010252118385","62325","74417","53530.49560694644","86221.50439305356","commonmain-plain-jar","2782.2265","3","False","20","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","False","True","2026-06-04 03:52:10","eda43f3db75c4b97300b89ad9fcc775ce5540881","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.57","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7971.7495","3","False","20","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","False","True","2026-06-04 03:52:10","eda43f3db75c4b97300b89ad9fcc775ce5540881","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.57","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12869","14420","1344.8014723370882","12028","14420","9530.38758414018","16207.61241585982","commonmain-plain-win-exe","90788.4987","3","False","20","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","False","True","2026-06-04 03:52:10","eda43f3db75c4b97300b89ad9fcc775ce5540881","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.57","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"129178","143585","12628.213927551275","120025","143585","97827.11834503959","160528.88165496042","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3953.8551","3","False","20","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","False","True","2026-06-04 03:52:10","eda43f3db75c4b97300b89ad9fcc775ce5540881","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.57","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5735.5961","3","False","20","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","False","True","2026-06-04 03:52:10","eda43f3db75c4b97300b89ad9fcc775ce5540881","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.57","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"78206.66666666667","83284","4397.845646829062","75587","83284","67288.54798404659","89124.78534928676","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","98954.6181","3","False","20","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","False","True","2026-06-04 03:52:10","eda43f3db75c4b97300b89ad9fcc775ce5540881","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.57","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
