"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","FlushEarly","Native","Reference","Enabled","Methods","JS","JVM","CILabel","InstrumentPropertyAccessors","Common","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"137453.68","134719.5","9821.665041184437","127110","181485","134731.25334635956","140176.10665364043","commonmain-plain-jar","1841.6679","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5636.8276","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119652.84","119215","2871.940539717609","114925","130122","118856.77869672683","120448.90130327316","commonmain-plain-linux-exe","14150.9145","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134521.02","133847","4708.5388803053265","124713","147974","133215.8796094762","135826.1603905238","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2264.5172","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3324.6525","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"117200.8","116556","3159.9285899965444","112400","129610","116324.9124818517","118076.6875181483","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15892.9193","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134766.78","133686.5","4504.741965429545","126273","147824","133518.12923222966","136015.43076777033","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2264.5172","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3324.6525","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"117007.36","116754.5","2168.268214826886","112713","124197","116406.34671401094","117608.37328598906","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15892.9193","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133565.16","133134","4515.061783924231","126083","148452","132313.6487244835","134816.6712755165","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1735.2493","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
