"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Common","Reference","Methods","FlushEarly","JVM","Native","CILabel","Enabled","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3857.1816","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140043.48","136058","26019.68933306829","130777","318608","132831.1900814623","147255.76991853773","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19664.75","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154614.58","154838","5595.213607164244","142640","165641","153063.66591434527","156165.4940856547","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2132.6405","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3857.1816","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137749.7","136768.5","4951.609716618858","131371","156666","136377.18381110314","139122.21618889688","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19664.75","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153977.22","153697.5","5067.851085428778","141480","165637","152572.4833475283","155381.9566524717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1986.3093","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3449.9243","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137065.86","136458","3540.892479506907","130611","151181","136084.37467918496","138047.34532081502","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14840.0669","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153962.46","153720.5","5249.380010855315","142925","165781","152507.40609654124","155417.51390345875","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1986.3093","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3449.9243","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135902.62","135031.5","2827.6464785674852","130694","142010","135118.83638408102","136686.40361591897","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14840.0669","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154338.72","153443.5","5915.542095813954","141782","171483","152699.01538730494","155978.42461269506","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1833.9805","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2598.2902","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136171.92","136299.5","3261.7978380528934","130707","148349","135267.79576690245","137076.04423309758","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14320.2429","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152745.94","152525.5","4548.665874871937","144340","164371","151485.11414569427","154006.76585430573","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1833.9805","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2598.2902","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136673.92","135551.5","4470.900255598442","128773","152972","135434.649675613","137913.19032438702","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14320.2429","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
