"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","Methods","TestKIR","Native","Common","FlushEarly","CILabel","JVM","Reference","InstrumentPropertyAccessors","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4768.8438","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231947.08","229379.5","6982.199740623237","226136","264194","230011.71297259608","233882.4470274039","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24680.1055","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181782.2","181346","3721.9288449042942","175550","192419","180750.53395887237","182813.86604112765","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4395.9744","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4768.8438","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233154.5","229239","10219.85205821673","226311","276172","230321.70153630938","235987.29846369062","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24680.1055","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178955.9","177806","5411.62178433921","173438","211476","177455.87497131815","180455.92502868184","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","6009.6763","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","9865.6577","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232819.82","229597.5","15272.731869670768","223667","328557","228586.43470926306","237053.20529073695","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","33662.536","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182715.82","181932.5","5256.5171898262415","176034","207424","181258.7877714629","184172.85222853711","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","6009.6763","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","9865.6577","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228191.16","227154.5","4755.055785676752","224802","256737","226873.12578113884","229509.19421886117","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","33662.536","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178110.18","176931","4632.221451872057","173523","201349","176826.193721374","179394.16627862598","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4272.5173","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4926.0286","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233181.8","230238.5","10361.711727237318","225614","288553","230309.68004220436","236053.91995779562","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","24022.6815","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180249.38","178210","6841.840571342879","174128","216271","178352.91854939284","182145.84145060717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4272.5173","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4926.0286","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231589.38","228021","9207.983366024266","225105","272192","229037.05722816588","234141.70277183413","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","24022.6815","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
