"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","FlushEarly","CILabel","Enabled","Common","Reference","Native","JVM","Dedicated","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5120.6354","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224701","220957","19589.799611438768","218179","357783","219270.9845822451","230131.0154177549","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27685.7605","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187442.64","187008.5","3697.222707020246","181414","205555","186417.82215090518","188467.45784909485","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4773.402","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5120.6354","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240418.42","230006.5","30087.41394268998","216048","376429","232078.61434452084","248758.22565547918","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27685.7605","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191095.56","188489","8564.696275539774","184213","225969","188721.54731242696","193469.57268757303","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4339.7129","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5299.4628","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229891.48","228223","9053.342396066115","221144","282901","227382.0215181405","232400.9384818595","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26808.111","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193745.64","190970","9154.912016563592","184644","226400","191208.0278557133","196283.25214428673","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4339.7129","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5299.4628","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221147.6","219577.5","5011.591469904992","215900","241141","219758.45771734067","222536.74228265934","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26808.111","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195764.02","188367.5","15353.504105112757","182872","244369","191508.2457878613","200019.7942121387","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4241.6931","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7276.6272","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223790.64","221486","4987.765467376248","218924","240929","222408.10194829968","225173.17805170035","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25046.323","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194836.34","192751","6922.775727986571","187452","227636","192917.44446853796","196755.23553146204","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4241.6931","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7276.6272","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224838.32","221886","9752.236947867237","219511","281973","222135.13783199064","227541.50216800938","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25046.323","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
