"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Reference","IOA","JS","JVM","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"65503.333333333336","81431","13935.360287173537","55558","81431","30907.322077200864","100099.3445894658","commonmain_plain_jar","944.8733","3","False","5","ci-linux-small","True","True","True","True","True","2026-04-12 01:30:25","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","12.56","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"69587.33333333333","98323","24998.179140356067","52852","98323","7526.6998728125545","131647.9667938541","commonmain_ioa_jar","1935.7791","3","False","5","ci-linux-small","True","True","True","True","True","2026-04-12 01:30:25","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","12.56","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"3607.6666666666665","3668","55.1029339811714","3560","3668","3470.8677834678465","3744.4655498654865","commonmain_plain_exe","1092.6086","3","False","5","ci-linux-small","True","True","True","True","True","2026-04-12 01:30:25","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","12.56","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"3802.3333333333335","4108","266.95380374389373","3615","4108","3139.5921763865877","4465.07449028008","commonmain_ioa_exe","2484.7185","3","False","5","ci-linux-small","True","True","True","True","True","2026-04-12 01:30:25","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","12.56","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_plain_node","884.9946","3","False","5","ci-linux-small","True","True","True","True","True","2026-04-12 01:30:25","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","12.56","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_ioa_node","3918.478","3","False","5","ci-linux-small","True","True","True","True","True","2026-04-12 01:30:25","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","12.56","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
