"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Methods","TestKIR","JS","Enabled","JVM","FlushEarly","Dedicated","CILabel","InstrumentPropertyAccessors","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3697.7244","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183168.44","181287","6397.29307282321","175922","201949","181395.20082929183","184941.67917070817","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22764.8961","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140856.48","140173.5","3358.4969137993858","134594","151367","139925.5521506021","141787.40784939792","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2900.3928","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3697.7244","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179593.52","177341.5","5680.938217425364","174343","201005","178018.844264679","181168.19573532097","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22764.8961","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140141.16","138640.5","6230.165845599415","135220","173717","138414.24613320266","141868.07386679735","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4106.3005","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3405.9755","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180757.84","178449","5871.560197898938","174390","201717","179130.3265474249","182385.3534525751","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20060.3421","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138395.3","138322.5","2713.93020416171","134221","145511","137643.03692719634","139147.56307280363","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4106.3005","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3405.9755","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182231.86","177885","12273.771333013423","175206","255196","178829.7441593997","185633.97584060027","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20060.3421","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138788.68","137547.5","3801.8891460935147","134770","153621","137734.85009416327","139842.50990583672","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3206.5287","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3851.1419","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180018.96","177901","7287.066378628001","173836","218234","177999.08825189652","182038.83174810346","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21488.0933","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"147424.8","144817.5","9762.544440830152","134169","170644","144718.76074070754","150130.83925929244","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3206.5287","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3851.1419","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189539.52","184779.5","13869.493543480707","176624","251270","185695.09252900243","193383.94747099755","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21488.0933","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
