"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Native","JS","InstrumentPropertyAccessors","FlushEarly","CILabel","Enabled","Reference","TestKIR","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3069.5717","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144801.54","145081.5","2686.5744611125224","139720","151288","144056.85955231084","145546.22044768918","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14247.8987","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143972.78","143577","4930.141221183864","135439","157137","142606.2145744351","145339.3454255649","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1541.7593","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3069.5717","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144597.84","144402.5","3317.2329959452286","140190","161003","143678.34992508622","145517.33007491377","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14247.8987","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143982.78","143327.5","4378.950187719724","135591","156317","142768.99693409182","145196.56306590818","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1434.948","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2983.3596","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145236.6","144980.5","3522.1460179028027","139435","160359","144260.3109332334","146212.8890667666","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14212.9565","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143899.68","142729.5","5274.461575925866","136006","160249","142437.67384140153","145361.68615859846","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1434.948","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2983.3596","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145193.66","143949","4770.652518625663","139040","167896","143871.3025873309","146516.0174126691","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14212.9565","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144323.96","143672","5950.179204847189","133932","160093","142674.65447051113","145973.26552948885","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1341.0646","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2423.6371","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146342.2","144378","13506.891843251955","138437","237532","142598.28059247424","150086.11940752578","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14229.9428","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143173.26","142593.5","5014.177087997183","132637","156718","141783.40102057075","144563.11897942927","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1341.0646","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2423.6371","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144406.78","144324.5","2909.8308898894966","138303","150835","143600.216027496","145213.343972504","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14229.9428","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
