"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","InstrumentPropertyAccessors","Reference","Methods","Dedicated","JVM","Native","FlushEarly","TestKIR","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3645.2047","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142911.38","142058.5","3697.031864584765","136992","158187","141886.61504972944","143936.14495027057","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15030.6074","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143292.9","143851.5","4781.863552069658","133639","156339","141967.4350474041","144618.36495259588","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2179.0886","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3645.2047","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143031.28","142631.5","3268.875953846009","138341","157419","142125.1938133017","143937.3661866983","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15030.6074","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142826.7","143168","4228.380247850016","134961","153326","141654.65279209753","143998.7472079025","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1604.6096","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2971.0594","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143049.82","142514","3380.0748916349803","136813","150345","142112.91104029695","143986.72895970306","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13910.9147","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143204.64","142932","5709.9907171731975","133754","166466","141621.91132260286","144787.36867739717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1604.6096","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2971.0594","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143173.56","142765","3617.520326501713","137140","160996","142170.83452365178","144176.28547634822","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13910.9147","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142353.96","141890.5","6590.483150849613","131595","175273","140527.1712717135","144180.74872828647","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1652.1176","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2776.5334","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142142.86","141924.5","2221.674060941709","137551","148037","141527.04336872135","142758.67663127862","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13904.2494","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143590.54","143953","4682.733124872217","135981","154432","142292.55259994307","144888.52740005695","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1652.1176","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2776.5334","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142147.38","141691.5","5011.597492225571","137284","171656","140758.23604803855","143536.52395196146","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13904.2494","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","2026-06-20 03:56:58","b56e022b3d6ff30ac6d35054c87045561e2533aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.72","145","85","0.03","162","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
