"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","FlushEarly","JS","Dedicated","Native","Reference","CILabel","Common","Methods","InstrumentPropertyAccessors","Enabled","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"45479.666666666664","56544","9595.636317271166","39436","56544","21657.480860130956","69301.85247320237","commonmain-plain-jar","1694.4565","3","False","20","True","System.Boolean[]","True","False","True","True","ci-linux-small","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-09-01 18:51:22","8852d61bcb788da975d3d59d0c55da66a8656bc2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","82","0.06","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4710.3655","3","False","20","True","System.Boolean[]","True","False","True","True","ci-linux-small","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-09-01 18:51:22","8852d61bcb788da975d3d59d0c55da66a8656bc2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","82","0.06","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"7215","8098","765.031371905754","6751","8098","5315.728405414328","9114.271594585673","commonmain-plain-linux-exe","12721.1114","3","False","20","True","System.Boolean[]","True","False","True","True","ci-linux-small","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-09-01 18:51:22","8852d61bcb788da975d3d59d0c55da66a8656bc2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","82","0.06","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"82113","90392","12457.58953409527","67786","90392","51185.71151485579","113040.2884851442","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1941.4494","3","False","20","True","System.Boolean[]","True","False","True","True","ci-linux-small","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-09-01 18:51:22","8852d61bcb788da975d3d59d0c55da66a8656bc2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","82","0.06","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3854.4616","3","False","20","True","System.Boolean[]","True","False","True","True","ci-linux-small","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-09-01 18:51:22","8852d61bcb788da975d3d59d0c55da66a8656bc2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","82","0.06","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"38312.666666666664","44917","5719.523086178893","35005","44917","24113.343434867515","52511.989898465814","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17030.1721","3","False","20","True","System.Boolean[]","True","False","True","True","ci-linux-small","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-09-01 18:51:22","8852d61bcb788da975d3d59d0c55da66a8656bc2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.09","145","82","0.06","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
