"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Enabled","CILabel","Common","JVM","Reference","Dedicated","Native","InstrumentPropertyAccessors","TestKIR","JS","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"66025","69692","4868.015714847273","60502","69692","53939.634211438475","78110.36578856152","commonmain-plain-jar","2718.5084","3","False","20","System.String[]","System.Boolean[]","ci-windows-small","True","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-05-11 02:58:38","ddff876ff545d34230c2ab856825446ef7836636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7797.9153","3","False","20","System.String[]","System.Boolean[]","ci-windows-small","True","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-05-11 02:58:38","ddff876ff545d34230c2ab856825446ef7836636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"13170.666666666666","13202","27.592269448766505","13150","13202","13102.165928633334","13239.167404699998","commonmain-plain-win-exe","94788.7437","3","False","20","System.String[]","System.Boolean[]","ci-windows-small","True","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-05-11 02:58:38","ddff876ff545d34230c2ab856825446ef7836636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"121012","125799","4464.732130822632","116961","125799","109927.82852036292","132096.17147963707","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3450.7461","3","False","20","System.String[]","System.Boolean[]","ci-windows-small","True","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-05-11 02:58:38","ddff876ff545d34230c2ab856825446ef7836636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5630.6351","3","False","20","System.String[]","System.Boolean[]","ci-windows-small","True","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-05-11 02:58:38","ddff876ff545d34230c2ab856825446ef7836636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"81100.66666666667","81629","459.084233374806","80799","81629","79960.94132207215","82240.3920112612","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","95568.46","3","False","20","System.String[]","System.Boolean[]","ci-windows-small","True","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-05-11 02:58:38","ddff876ff545d34230c2ab856825446ef7836636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
