"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","Methods","Common","Enabled","TestKIR","JVM","Native","FlushEarly","InstrumentPropertyAccessors","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4545.8629","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145538.9","144602.5","5268.062662334771","139947","176249","144078.667529757","146999.132470243","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19965.6891","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142770.9","141938.5","5147.83934960948","134295","155838","141343.99173187342","144197.80826812657","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2416.0068","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4545.8629","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145579.08","143914","6393.397362138856","138822","175312","143806.92066520127","147351.2393347987","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19965.6891","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143230.02","141638","5294.343567990121","135817","158722","141762.50283436797","144697.537165632","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2594.5285","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4039.2414","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144106.34","143632","2582.4518535528146","140115","149710","143390.5208666479","144822.1591333521","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14944.6358","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141360.46","141280.5","4031.917496979444","133244","151334","140242.86948830684","142478.05051169315","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2594.5285","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4039.2414","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143894.48","143988.5","2489.7692724837134","139436","148479","143204.35116742406","144584.60883257596","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14944.6358","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141697.92","140577.5","4286.708479160454","134614","157553","140509.705031243","142886.13496875702","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1340.6831","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2623.7868","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144107.56","143956","2616.055264972006","138596","150496","143382.42647621437","144832.69352378562","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14007.8098","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143141.78","142164","5932.346141833821","133468","164044","141497.41754338727","144786.14245661272","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1340.6831","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2623.7868","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144297.82","144109.5","3903.293782780624","138276","164905","143215.88216291516","145379.75783708485","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14007.8098","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
