"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","Common","Native","Dedicated","JVM","Reference","FlushEarly","TestKIR","InstrumentPropertyAccessors","CILabel","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5487.3498","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202292.64","200698.5","6073.519928075868","196294","230861","200609.1461662889","203976.13383371112","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","36135.0088","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231158.1","230130.5","6570.273619779888","221126","248759","229336.9130679274","232979.2869320726","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3989.2907","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5487.3498","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202868.58","201572.5","6304.431263380851","196522","229418","201121.08080963846","204616.07919036152","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","36135.0088","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230219.64","229082.5","7309.948814025547","217745","254133","228193.4255644026","232245.85443559743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2118.2375","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2942.9689","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201370.34","200712.5","3598.77591779908","195506","213337","200372.81020866495","202367.86979133505","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19351.5131","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230107.3","230103.5","5848.152602946245","218250","244410","228486.27480172084","231728.32519827914","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2118.2375","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2942.9689","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202480.64","199413.5","7427.154182828723","196331","237701","200421.93789366228","204539.34210633775","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19351.5131","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258021.88","258675.5","10812.123551809413","224311","276655","255024.9122540556","261018.8477459444","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2193.5517","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2650.1949","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211190.6","207874.5","8824.25548920562","198261","233940","208744.64116902676","213636.55883097326","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18876.553","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237653.26","234461.5","10466.744252992476","219772","262427","234752.0265114114","240554.49348858863","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2193.5517","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2650.1949","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202732.92","202027.5","4676.332353370927","196728","225789","201436.70680328496","204029.13319671506","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18876.553","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
