"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Dedicated","JS","TestKIR","CILabel","Enabled","Common","FlushEarly","Reference","JVM","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3097.1051","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138190.62","136246.5","13092.64323711166","131649","223918","134561.5244478858","141819.71555211418","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15344.4291","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156470.76","156631","5472.926126872541","143053","172562","154953.74227452013","157987.7777254799","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1738.1403","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3097.1051","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135552.2","135316","2236.3293996353646","131412","140687","134932.321116088","136172.07888391204","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15344.4291","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156664.08","155716","6528.314370806726","145920","173564","154854.5235783645","158473.63642163549","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1436.182","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2620.301","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137962.2","136220.5","10229.015110089971","131293","196487","135126.86166791193","140797.5383320881","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14696.4223","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154356.78","153545.5","6158.29851033944","139955","169510","152649.78674220503","156063.77325779496","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1436.182","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2620.301","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135781.7","135862.5","2540.9559766966063","128605","140543","135077.3829368871","136486.01706311293","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14696.4223","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156734.56","155682","6786.67534595759","144167","185192","154853.38956973545","158615.73043026455","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1367.9444","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2601.4716","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135601.86","134301","4914.591842666083","131386","163541","134239.60464226437","136964.1153577356","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15155.2028","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155070.12","154429","5983.0234444072275","143911","169482","153411.71051178093","156728.52948821906","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1367.9444","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2601.4716","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136742.84","135596.5","9961.142638661246","130187","203519","133981.75212879977","139503.92787120023","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15155.2028","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-06-18 04:15:03","20612667dd4e2aebf291606d356aaefa1ab409a9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","72","16","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
