"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JS","Native","Dedicated","Enabled","InstrumentPropertyAccessors","JVM","Methods","Common","FlushEarly","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4834.6454","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138159.02","137839.5","2687.199904384199","132948","147190","137414.16618828077","138903.8738117192","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","25676.6721","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153654.42","152966","4390.62545444547","143750","162582","152437.40071526446","154871.43928473556","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2686.3139","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4834.6454","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137967.14","137595","3311.062620047762","132375","147911","137049.36026602495","138884.91973397508","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","25676.6721","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154098.68","154439","4634.864700664884","146086","164270","152813.96105018884","155383.39894981115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2480.5266","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4805.623","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139016.72","139000.5","4715.910854257756","133792","165779","137709.53620254938","140323.90379745062","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15798.4509","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154639.66","153903.5","5219.59313298245","144359","171768","153192.8625978483","156086.45740215172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2480.5266","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4805.623","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137921","137461","3696.9194787894776","131494","152837","136896.26620148256","138945.73379851744","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15798.4509","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153145.8","152812","4257.699997100092","144639","166246","151965.62577223868","154325.9742277613","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1614.7185","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2440.0497","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137181.92","137360","2586.9458380452406","132777","148490","136464.85519769954","137898.9848023005","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14240.8037","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154256.24","154300","5030.174896784892","145869","168085","152861.9466542122","155650.5333457878","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1614.7185","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2440.0497","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137506.38","137401.5","2335.812334246124","133092","143219","136858.92585347916","138153.83414652085","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14240.8037","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
